open_time,open,high,low,close,volume,close_time,quote_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume,ignore
2024-01-01T00:00:00Z,42000,42180,41920,42120,125.4,2024-01-01T00:59:59.999Z,5276000,1842,66.1,2783000,0
2024-01-01T01:00:00Z,42120,42240,42050,42180,98.2,2024-01-01T01:59:59.999Z,4140000,1530,49.8,2100000,0
2024-01-01T02:00:00Z,42180,42210,41980,42040,117.9,2024-01-01T02:59:59.999Z,4961000,1711,54.3,2285000,0
2024-01-01T03:00:00Z,42040,42320,42010,42290,143.6,2024-01-01T03:59:59.999Z,6069000,2088,80.2,3390000,0
2024-01-01T04:00:00Z,42290,42410,42200,42350,112.7,2024-01-01T04:59:59.999Z,4772000,1655,58.6,2481000,0
2024-01-01T05:00:00Z,42350,42390,42140,42190,130.5,2024-01-01T05:59:59.999Z,5515000,1904,59.0,2494000,0
2024-01-01T06:00:00Z,42190,42280,42090,42240,91.8,2024-01-01T06:59:59.999Z,3875000,1412,48.7,2056000,0
2024-01-01T07:00:00Z,42240,42520,42210,42480,168.1,2024-01-01T07:59:59.999Z,7135000,2375,94.5,4010000,0
2024-01-01T08:00:00Z,42480,42610,42370,42520,154.3,2024-01-01T08:59:59.999Z,6556000,2217,78.4,3331000,0
2024-01-01T09:00:00Z,42520,42570,42300,42340,139.2,2024-01-01T09:59:59.999Z,5904000,2031,61.2,2595000,0
2024-01-01T10:00:00Z,42340,42490,42280,42460,108.6,2024-01-01T10:59:59.999Z,4605000,1608,57.1,2421000,0
2024-01-01T11:00:00Z,42460,42720,42410,42680,176.4,2024-01-01T11:59:59.999Z,7511000,2491,101.3,4315000,0

